bulan,banyak_pengunjung,turis
2013-01-01,13637,Mancanegara
2014-01-01,16134,Mancanegara
2015-01-01,11796,Mancanegara
2016-01-01,10877,Mancanegara
2017-01-01,13463,Mancanegara
2018-01-01,11732,Mancanegara
2019-01-01,13402,Mancanegara
2020-01-01,15603,Mancanegara
2021-01-01,52,Mancanegara
2022-01-01,127,Mancanegara
2008-02-01,8761,Mancanegara
2009-02-01,8362,Mancanegara
2010-02-01,10050,Mancanegara
2011-02-01,9550,Mancanegara
2012-02-01,10973,Mancanegara
2013-02-01,14409,Mancanegara
2014-02-01,11137,Mancanegara
2015-02-01,13080,Mancanegara
2016-02-01,12962,Mancanegara
2017-02-01,12785,Mancanegara
2018-02-01,14088,Mancanegara
2019-02-01,16869,Mancanegara
2020-02-01,11506,Mancanegara
2021-02-01,37,Mancanegara
2022-02-01,170,Mancanegara
2008-03-01,8939,Mancanegara
2009-03-01,10064,Mancanegara
2010-03-01,9902,Mancanegara
2011-03-01,10993,Mancanegara
2012-03-01,12434,Mancanegara
2013-03-01,14858,Mancanegara
2014-03-01,15715,Mancanegara
2015-03-01,12285,Mancanegara
2016-03-01,11326,Mancanegara
2017-03-01,14701,Mancanegara
2018-03-01,15292,Mancanegara
2019-03-01,16949,Mancanegara
2020-03-01,4213,Mancanegara
2021-03-01,33,Mancanegara
2022-03-01,348,Mancanegara
2008-04-01,8503,Mancanegara
2009-04-01,11043,Mancanegara
2010-04-01,8223,Mancanegara
2011-04-01,9550,Mancanegara
2012-04-01,12585,Mancanegara
2013-04-01,14277,Mancanegara
2014-04-01,18734,Mancanegara
2015-04-01,11842,Mancanegara
2016-04-01,13480,Mancanegara
2017-04-01,16078,Mancanegara
2018-04-01,14555,Mancanegara
2019-04-01,17693,Mancanegara
2020-04-01,0,Mancanegara
2021-04-01,64,Mancanegara
2022-04-01,618,Mancanegara
2008-05-01,10851,Mancanegara
2009-05-01,12265,Mancanegara
2010-05-01,13141,Mancanegara
2011-05-01,12311,Mancanegara
2012-05-01,15013,Mancanegara
2013-05-01,17614,Mancanegara
2014-05-01,18842,Mancanegara
2015-05-01,14342,Mancanegara
2016-05-01,12407,Mancanegara
2017-05-01,16722,Mancanegara
2018-05-01,13265,Mancanegara
2019-05-01,15325,Mancanegara
2020-05-01,0,Mancanegara
2021-05-01,55,Mancanegara
2022-05-01,2175,Mancanegara
2008-06-01,10121,Mancanegara
2009-06-01,11047,Mancanegara
2010-06-01,12874,Mancanegara
2011-06-01,12038,Mancanegara
2012-06-01,14705,Mancanegara
2013-06-01,16390,Mancanegara
2014-06-01,17468,Mancanegara
2015-06-01,13261,Mancanegara
2016-06-01,15169,Mancanegara
2017-06-01,11529,Mancanegara
2018-06-01,9031,Mancanegara
2019-06-01,14332,Mancanegara
2020-06-01,2,Mancanegara
2021-06-01,70,Mancanegara
2022-06-01,4341,Mancanegara
2008-07-01,17289,Mancanegara
2009-07-01,20542,Mancanegara
2010-07-01,22404,Mancanegara
2011-07-01,22926,Mancanegara
2012-07-01,24518,Mancanegara
2013-07-01,22107,Mancanegara
2014-07-01,25793,Mancanegara
2015-07-01,21179,Mancanegara
2016-07-01,24219,Mancanegara
2017-07-01,29879,Mancanegara
2018-07-01,27470,Mancanegara
2019-07-01,34347,Mancanegara
2020-07-01,29,Mancanegara
2021-07-01,0,Mancanegara
2022-07-01,1184,Mancanegara
2008-08-01,17723,Mancanegara
2009-08-01,21512,Mancanegara
2010-08-01,22732,Mancanegara
2011-08-01,19277,Mancanegara
2012-08-01,22041,Mancanegara
2013-08-01,32553,Mancanegara
2014-08-01,34653,Mancanegara
2015-08-01,31408,Mancanegara
2016-08-01,32307,Mancanegara
2017-08-01,35400,Mancanegara
2018-08-01,30166,Mancanegara
2019-08-01,39300,Mancanegara
2020-08-01,39,Mancanegara
2021-08-01,0,Mancanegara
2022-08-01,15550,Mancanegara
2008-09-01,11249,Mancanegara
2009-09-01,12181,Mancanegara
2010-09-01,14863,Mancanegara
2011-09-01,15830,Mancanegara
2012-09-01,20034,Mancanegara
2013-09-01,23555,Mancanegara
2014-09-01,24272,Mancanegara
