all,all_genus,mam,mam_genus,amph,amph_genus,rep,rep_genus,tree_height,tree_density,elevation,temp,precip,country,island,BGR,vert_all,mam_all,amp_all,rep_all,x,y
0,0,0,0,0,0,0,0,28.78384,70941.53,768.0233,7.608778,225.6687,New Zealand,South Island,0,6,1,0,5,172.3694,-41.33337749
0,0,0,0,0,0,0,0,27.31403,80848.57,975.2247,8.713863,245.0883,New Zealand,South Island,0,5,1,0,4,172.2494,-41.00337749
0,0,0,0,0,0,0,0,21.96476,17188.39,1457.478,6.327204,200.7692,New Zealand,South Island,0,4,1,0,3,172.1794,-42.54337749
0,0,0,0,0,0,0,0,25.61444,81338.52,851.5425,7.568942,254.6027,New Zealand,South Island,0,3,1,0,2,170.9994,-43.09337749
0,0,0,0,0,0,0,0,27.57043,65455.27,679.9418,7.366735,212.7223,New Zealand,South Island,0,3,1,0,2,172.0194,-42.69337749
0,0,0,0,0,0,0,0,34.83299,81439.49,394.2491,10.6591,219.8499,New Zealand,South Island,0,5,1,0,4,171.7694,-41.89337749
0,0,0,0,0,0,0,0,25.45254,57195.07,1328.121,6.964078,234.5661,New Zealand,South Island,0,7,2,0,5,172.5594,-41.07337749
0,0,0,0,0,0,0,0,32.12336,69507.59,1108.49,5.790701,189.9965,New Zealand,South Island,0,4,1,0,3,172.3894,-42.31337749
0,0,0,0,0,0,0,0,31.10877,84962.95,972.4332,8.219493,226.9042,New Zealand,South Island,0,6,1,0,5,172.1394,-41.69337749
0,0,0,0,0,0,0,0,28.99466,33038.56,1114.201,7.50642,256.7232,New Zealand,South Island,0,3,2,0,1,170.6794,-43.24337749
0,0,0,0,0,0,0,0,31.53927,9448.685,1549.12,5.847509,216.4853,New Zealand,South Island,0,2,0,0,2,171.9994,-42.81337749
0,0,0,0,0,0,0,0,28.927,79504.13,653.6685,9.716852,163.3147,New Zealand,South Island,0,4,1,0,3,172.5294,-41.68337749
0,0,0,0,0,0,0,0,31.5015,68288.1,1324.399,7.338496,150.4907,New Zealand,South Island,0,4,1,0,3,172.4094,-42.49337749
