turis,bulan,rerata_pengunjung
Mancanegara,1,10107.466666666667
Mancanegara,2,10315.933333333332
Mancanegara,3,10536.8
Mancanegara,4,10483
Mancanegara,5,11621.866666666667
Mancanegara,6,10825.2
Mancanegara,7,19592.4
Mancanegara,8,23644.066666666666
Mancanegara,9,16380.6
Mancanegara,10,13865.666666666666
Mancanegara,11,14764.4
Mancanegara,12,10236.866666666667
